Metacritic,RecommendationCount,SteamSpyOwners
84,0,1174560
86,780,1193213
83,255,0
91,13358,93620
84,12620,0
0,0,7353
0,0,7353
0,0,1614
0,0,2332
0,0,2332
0,0,3228
0,0,3228
0,0,1076
0,0,1076
84,529,449450
0,0,5201
0,0,5201
0,0,5201
0,0,5560
0,0,5560
58,0,43941
89,2648,837921
86,2294,861057
82,596,739279
0,131,14707
89,234,54702
0,108,18832
83,0,20446
0,0,21881
0,2093,260236
80,1606,490162
73,1081,403178
74,1555,426493
68,1844,835052
0,8095,1137794
0,150,47707
84,8009,2640923
0,8431,1070538
0,3954,592033
72,1262,730312
86,796,390085
80,536,410352
83,5022,499309
0,0,808
63,1707,428287
79,1541,376813
82,105,115501
81,0,338791
74,405,165719
80,247,177915
38,169,181502
67,156,132539
59,0,129849
61,403,476532
63,0,271894
66,590,81963
56,1188,350270
63,958,382732
0,1692,305074
0,0,12196
77,4468,1190702
0,0,1973
0,0,1793
77,2622,872536
76,0,21881
0,0,49859
64,0,25109
77,145,34794
69,852,88778
69,2682,1229262
80,848,306508
75,164,158007
0,0,49680
85,2748,725828
0,444,289291
87,18033,2558063
79,315,169665
81,1702,954319
81,1702,339509
78,1732,773714
81,1702,343813
68,2450,1110174
76,0,0
87,766,711480
85,445,711480
72,11601,1974460
0,1441,512043
79,1406,453754
0,0,3587
83,3175,1408253
0,0,21881
0,0,2870
0,0,2332
80,4515,851731
0,289,74609
72,574,561902
70,467,354036
0,0,6636
70,1216,378248
77,229,88419
73,4417,1264953
52,656,211094
77,0,11120
0,0,13631
0,0,8967
0,0,15245
0,325,282655
75,1266,216834
76,1677,149040
0,19250,3398675
0,19250,3398675
81,11095,3628063
81,11095,3628063
0,0,28337
0,125,55957
65,0,0
74,17631,3643666
71,0,79273
0,0,50039
0,0,49680
68,0,51115
75,2640,401743
0,0,153344
65,643,161235
63,569,282117
0,0,50397
81,15639,4710079
51,398,59903
53,131,45017
76,0,13989
0,0,43223
68,146,173431
84,250,86626
67,991,625392
80,9495,1053858
83,171,69588
0,0,72278
72,0,157469
84,171,128594
75,250,96849
0,1469,148322
78,338,156931
0,801,121599
59,228,68332
0,0,1435
74,442,90751
0,474,96490
78,1545,300411
57,352,44479
70,147,49680
0,259,33897
78,2262,480836
63,921,163387
0,7875,751295
66,901,249296
73,0,68870
0,0,17397
0,129,93800
0,280,129670
0,161,79811
0,0,73892
66,137,95773
63,0,98822
0,0,46093
0,0,70843
61,268,69408
60,0,65821
0,208,109224
68,377,257008
0,267,93979
65,275,136664
75,353,118191
67,176,102767
82,1302,342020
80,515,317987
0,217,95235
50,581,135230
71,132,121061
80,443,108506
48,138,97387
0,0,29593
0,0,33718
0,0,33897
0,0,8967
0,0,12554
0,120,19728
75,142,43582
0,0,32462
38,194,38740
66,0,15245
0,0,32642
0,0,31207
0,0,18832
0,513,44120
0,0,1076
0,0,897
0,0,1614
0,2326,719192
75,6647,1426905
0,0,3408
0,0,3049
83,259,68870
0,0,1973
64,1110,269383
82,0,158904
87,5375,1329160
72,3099,1623652
77,317,62952
91,6848,1137794
72,3099,1623652
86,6554,838997
86,181,0
86,181,0
86,6191,1124701
84,1172,193339
86,6192,0
88,17808,3967572
62,686,81245
0,0,1435
86,8664,0
88,4337,872536
79,0,146708
77,4277,631669
83,7284,865541
78,43319,2434133
68,4221,1285398
49,1009,191187
0,245,457521
76,401,270639
0,0,6457
68,108,90751
0,0,36946
56,104,69946
69,0,0
77,682,341482
89,86362,6969346
45,6035,434385
70,5250,573022
0,231,78734
55,101,43761
76,227,180964
80,166,57930
90,85790,0
77,19403,2541742
76,19624,1681044
72,138,87523
83,7445,2506769
83,7445,44658
0,0,44837
0,0,0
0,0,1614
0,0,1076
0,0,1614
0,0,1614
0,0,2511
0,0,1793
0,0,1973
0,0,4663
0,0,3587
0,0,3049
0,0,0
0,0,717
0,0,9685
47,13219,2549634
90,27546,0
72,158,102409
0,0,26544
75,1337,422368
70,2489,816041
75,2775,1735028
0,1378,513119
74,6203,1137435
84,30053,3952506
0,5503,1886399
0,5503,0
0,0,0
0,0,32104
79,393,109403
85,14322,3235825
66,191,178273
0,798,309737
65,339,201768
57,454,117833
78,6855,2291908
76,132,32642
62,846,262747
62,152,114784
54,4451,1051347
71,241,108506
73,0,41609
76,107,52011
73,742,504331
0,474,192442
79,137,115501
75,252,84115
81,1948,811557
0,0,31745
0,0,26902
0,0,133795
0,0,12554
0,114,52729
0,197,74609
38,105,9326
0,168,192621
0,224,93441
86,0,75865
82,162,97387
0,418,218806
76,979,255394
0,215,45017
0,385,89675
0,505,115322
65,691,396004
59,106,27261
82,744,314220
82,744,0
66,20555,3607976
0,333,257546
66,185,85191
83,222,96131
0,0,56495
0,0,56495
0,0,56495
0,0,63131
0,137,90751
0,692,326058
0,3297,794698
0,345,84474
67,0,69767
78,273,311172
68,408,155855
60,555,209480
49,0,53446
77,2473,503255
0,0,20625
69,0,39636
0,0,9326
0,122,25468
79,1535,522445
0,0,27440
63,115,82680
55,159,309916
81,1469,314220
43,280,213785
0,272,182937
0,200,149578
0,265,17397
70,511,321036
0,650,231899
0,485,416091
0,3286,1319834
81,10059,1988987
66,5556,1099054
81,15657,1458112
0,360,153703
77,6337,1166310
53,12517,1525906
0,657,425955
0,287,296106
0,464,296644
0,0,16141
0,133,32283
81,5603,958803
82,3970,458418
62,470,174866
0,0,29772
66,1401,629696
0,404,467206
0,243,296824
73,150,406944
0,256,405868
0,226,158904
70,372,95055
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,614,276916
0,248,257725
0,1758,507559
0,369,256649
77,4707,680632
78,659,405151
83,2648,766899
0,0,26185
0,0,8788
94,182587,11428873
0,176,47348
70,601,258084
0,441,121420
58,0,42685
81,703,150474
70,0,31386
70,232,109583
63,151,37663
82,1687,410711
48,136,47348
70,263,80528
0,125,95773
82,1001,239790
80,669,143838
0,256,124648
0,207,124289
73,232,100077
0,294,80707
0,0,26364
55,135,66897
73,670,213067
80,3434,917552
55,511,83218
70,2422,1207919
0,4225,615707
0,0,33180
0,0,21701
44,1401,237100
64,1872,330362
0,1445,364976
0,114,56316
0,149,56136
0,120,59006
68,725,120882
0,0,10402
67,132,91468
34,0,39457
84,3233,1028211
0,153,53626
79,848,488010
0,733,41250
81,1788,642251
77,524,120882
81,5040,648169
0,0,572125
0,0,572125
0,0,572125
0,0,572125
63,422,428646
0,0,273508
0,0,264899
75,122,265079
73,134,134512
80,760,503972
83,1358,232258
0,695,103664
65,201,78196
63,1816,168051
0,8428,931004
55,252,385064
0,625,109583
54,204,300231
0,0,35691
72,1492,444070
77,764,215578
87,0,13810
79,0,14707
81,0,21163
77,897,406227
62,529,250731
85,2192,707175
71,911,222573
73,2684,496619
57,217,120702
0,224,100615
79,3386,567821
0,171,44479
0,297,125186
56,0,5022
71,107,16500
76,1441,725648
49,267,68153
0,0,45555
78,692,559212
82,3545,367129
0,5458,111555
64,15519,2751402
0,957,411069
0,0,5201
0,126,14348
0,0,4304
69,299,118012
70,0,38740
81,6628,834334
83,4412,1478199
0,8010,1343508
0,0,44120
72,1277,606022
0,224,52011
0,166,88419
0,118,49680
0,0,17397
0,3861,623240
0,395,146887
76,4379,1382247
0,27713,2330469
72,961,266513
69,408,97925
81,354,116936
0,171,57033
81,7658,1876355
83,139819,8165607
75,115,81245
81,625,306508
86,19633,2339436
74,2187,659648
0,1000,583424
78,2731,631849
74,63534,2785120
82,924,101691
81,1198,459852
0,3030,1249349
46,0,54522
0,933,277992
0,217,316552
81,493,360672
0,12449,735154
0,437,86626
83,14262,1723908
0,5458,2159728
0,0,15424
0,3515,860519
0,200,24750
74,18128,4486609
54,0,14348
59,138,75686
0,0,75686
0,0,30489
0,0,29951
0,0,26006
83,10103,1510124
0,0,12196
0,0,10761
0,395,133077
0,0,6277
0,352,166436
0,474,485320
72,642,267769
56,1175,625392
75,320,230106
83,6222,1340459
84,39367,2968594
0,24608,4571083
71,6303,1947736
0,2143,478146
80,1101,431156
75,470,146708
73,205,107968
76,173,104740
66,128,87881
0,19251,0
76,4130,520472
0,0,37125
0,267,48962
0,122,49321
77,1063,280682
37,241,53805
64,148,67077
0,0,16141
0,165,44479
0,167,8071
73,3320,1040048
71,0,65104
82,22224,2768440
60,333,65642
91,16418,3396164
60,395,103843
67,293,365694
57,0,62952
66,0,24750
89,31794,3498393
72,126,158186
22,188,36767
63,0,128594
88,23667,3352402
83,4006,745915
70,1107,178632
0,1225,297900
0,193,95593
0,0,95593
0,0,95593
0,0,95593
0,0,95593
0,129,105278
0,251,15962
0,407,425597
83,819,598848
0,15442,0
86,158,0
87,415,193339
0,647,313144
64,500,491059
57,351,113887
0,1528,181681
0,1866,608712
72,2680,764567
83,11166,2295854
81,17822,1352475
54,1087,204638
80,4225,810839
65,157,43761
45,313,124469
81,14510,1554602
92,827,604767
0,350,269204
72,692,177377
0,0,11299
0,108,47169
0,911,246247
0,0,7891
0,0,14707
76,566,208763
0,370,163208
73,3236,1191957
0,0,45555
74,23400,2960344
74,23400,2960344
79,18213,3058269
86,55844,4453968
0,790,139355
0,6142,2146276
74,574,196926
0,503,132181
0,225,77479
71,1809,803307
54,551,222393
62,451,74071
68,3404,682425
82,16341,1359649
75,5542,807432
75,873,261312
0,204,48424
83,3473,689958
0,1828,748964
67,1357,491418
87,18737,1764621
80,329,261312
81,1727,474738
74,202,312786
74,2208,407841
78,17240,1689652
74,3532,841150
0,32371,3280304
62,102,24930
0,102,30669
79,9891,965798
75,1284,118550
51,260,366591
0,0,10402
0,1934,390444
39,178,13272
0,0,22060
57,185,125186
82,5723,857829
73,0,80528
0,347,31745
70,548,187062
0,0,50577
0,0,47528
74,0,47707
0,0,33000
91,25429,2918556
78,781,211633
64,2312,1635130
0,0,28875
69,0,66180
0,273,74071
0,429,200513
73,1468,301128
0,231,38740
0,492,453396
76,522,252345
63,145,116936
0,136,30848
0,420,141866
0,197,69588
76,1405,325161
75,3154,612120
0,2719,1632081
73,646,81245
0,0,74789
0,0,74251
0,0,77479
83,8584,753448
0,9300,2637874
42,0,1793
0,0,13093
83,485,172893
0,0,33000
86,39363,3107232
81,23170,1114120
0,1442,728877
0,6994,1296518
0,174,63490
0,437,286959
38,136,166436
0,117,48783
0,292,72816
77,744,239970
0,1507,356726
84,15156,1231414
74,484,98284
82,3898,980325
59,111,30310
0,1304,126980
0,6963,2016427
74,443,191904
73,694,151371
76,1342,243736
0,403,73533
0,201,65104
0,431,69408
81,638,259519
0,628,163208
86,1142,207687
80,381,61517
0,283,307046
82,28241,2112200
65,612,400846
0,0,28158
82,2268,394569
0,0,12913
0,384,58827
75,1186,223111
0,293,31924
61,689,503076
0,429,355292
72,40106,5482896
80,0,49680
77,5037,1029646
0,3073,575174
76,481,95593
50,0,13631
80,8592,1031439
80,1042,324981
0,1329,289650
85,5213,2066645
0,421,129670
0,0,27082
0,0,27440
0,0,30310
0,27235,935667
63,1240,247144
0,0,11299
58,1601,509712
78,1612,146349
0,0,20087
74,17773,2163315
66,548,55240
64,11169,1370231
48,1173,121958
79,904,129132
68,23993,1428161
68,23993,1428161
80,751,278351
0,167,36049
75,643,208225
54,424,206611
0,0,31924
62,1701,157290
0,0,38740
0,571,93620
66,1365,479222
0,0,38201
0,229,35153
78,20533,1085244
78,20533,1085244
44,1412,180246
0,173,163387
0,274,438330
0,476,388113
49,0,34973
70,458,243557
81,1031,593826
0,0,16500
75,14567,2896137
0,490,55598
0,158,163926
0,0,5560
27,0,6815
0,371,36946
77,9939,1555858
67,150,25109
0,387,98104
87,2111,156213
0,0,20805
0,0,46810
69,0,13989
0,1271,1016195
74,317,90392
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
74,1738,195850
0,267,66897
0,723,77479
79,481,293775
78,9380,978890
85,47180,2864930
0,996,262388
0,5750,3133058
0,448,201230
92,1116,814785
87,500,499130
56,190,23674
0,116,34794
82,57493,2562188
0,271,41968
0,236,19190
0,1065,262747
0,813,162311
76,303,56495
75,8394,1959394
0,187,52370
76,3784,933515
0,1922,555446
0,115,295389
0,1014,626468
0,374,42147
79,8242,805638
86,5405,2129597
0,1279,145273
71,2265,284986
84,31184,2601286
0,172,78017
0,241,36229
0,6179,1018526
0,489,314400
0,2149,185268
86,5405,0
0,624,252524
73,0,7533
0,0,0
0,0,0
0,0,0
0,3080,397439
0,1468,587370
0,25895,1963340
0,4271,636153
60,0,21701
0,105,13272
83,0,117474
81,816,465233
69,4050,204638
0,0,9864
66,1499,255573
74,4759,801872
59,1509,406227
0,6992,2077227
81,16116,946966
80,2653,561364
0,513,536076
91,11059,1603923
0,208,63490
0,902,147425
0,514,100077
0,197,64028
88,1151,92724
68,1663,155496
88,4568,736947
0,808,386857
75,1147,469717
0,2456,211453
64,2214,515451
0,323,104561
76,29200,2457986
80,929,368563
76,3373,1186039
79,980,486934
0,360,459852
82,1159,231720
74,3131,418961
0,0,2511
78,0,28875
67,5121,483526
74,1591,470972
72,5036,814785
0,0,39457
0,498,105637
69,1372,294671
0,813,259698
73,272,117833
68,0,27082
61,429,106713
0,408,362286
0,335,126262
0,296,29234
57,577,95773
53,109,38201
0,3378,715246
67,0,26544
0,341,20267
72,140,41071
0,0,0
78,244,106892
0,0,12734
0,1158,266693
